"Species","Year","Region","Biomass"
"sockeye",1986,"SPen",7475
"sockeye",1987,"SPen",9187
"sockeye",1988,"SPen",4546
"sockeye",1989,"SPen",5954
"sockeye",1990,"SPen",8461
"sockeye",1991,"SPen",9181
"sockeye",1992,"SPen",6375
"sockeye",1993,"SPen",8000
"sockeye",1994,"SPen",7745
"sockeye",1995,"SPen",7306
"sockeye",1996,"SPen",8964
"sockeye",1997,"SPen",4500
"sockeye",1998,"SPen",5016
"sockeye",1999,"SPen",10863
"sockeye",2000,"SPen",8541
"sockeye",2001,"SPen",9647
"sockeye",2002,"SPen",6596
"sockeye",2003,"SPen",5920
"sockeye",2004,"SPen",4550
"sockeye",2005,"SPen",5787
"sockeye",2006,"SPen",5850
"sockeye",2007,"SPen",5319
"sockeye",2008,"SPen",3989
"sockeye",2009,"SPen",6070
"sockeye",2010,"SPen",6438
"sockeye",2011,"SPen",11031
"sockeye",2012,"SPen",8026
"sockeye",2013,"SPen",10530
"sockeye",2014,"SPen",4199
"sockeye",2015,"SPen",10832
"sockeye",1952,"Kod",4122
"sockeye",1953,"Kod",2892
"sockeye",1954,"Kod",2927
"sockeye",1955,"Kod",2281
"sockeye",1956,"Kod",2693
"sockeye",1957,"Kod",2537
"sockeye",1958,"Kod",2765
"sockeye",1959,"Kod",2949
"sockeye",1960,"Kod",2963
"sockeye",1961,"Kod",3447
"sockeye",1962,"Kod",4844
"sockeye",1963,"Kod",3282
"sockeye",1964,"Kod",3668
"sockeye",1965,"Kod",3102
"sockeye",1966,"Kod",4547
"sockeye",1967,"Kod",3091
"sockeye",1968,"Kod",5323
"sockeye",1969,"Kod",4486
"sockeye",1970,"Kod",5897
"sockeye",1971,"Kod",4208
"sockeye",1972,"Kod",2814
"sockeye",1973,"Kod",3121
"sockeye",1974,"Kod",3877
"sockeye",1975,"Kod",2532
"sockeye",1976,"Kod",4979
"sockeye",1977,"Kod",5881
"sockeye",1978,"Kod",6462
"sockeye",1979,"Kod",5336
"sockeye",1980,"Kod",6275
"sockeye",1981,"Kod",6844
"sockeye",1982,"Kod",7994
"sockeye",1983,"Kod",6204
"sockeye",1984,"Kod",8999
"sockeye",1985,"Kod",11298
"sockeye",1986,"Kod",13717
"sockeye",1987,"Kod",7532
"sockeye",1988,"Kod",14925
"sockeye",1989,"Kod",8711
"sockeye",1990,"Kod",19224
"sockeye",1991,"Kod",21936
"sockeye",1992,"Kod",16832
"sockeye",1993,"Kod",14580
"sockeye",1994,"Kod",14676
"sockeye",1995,"Kod",17418
"sockeye",1996,"Kod",19466
"sockeye",1997,"Kod",13628
"sockeye",1998,"Kod",14609
"sockeye",1999,"Kod",18106
"sockeye",2000,"Kod",14079
